City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-04-01 21:17:50,19.7297,-155.09,78.8,65,40,11.5
1,Swellendam,ZA,2021-04-01 21:21:29,-34.0226,20.4417,62.6,72,99,5.75
2,Kaitangata,NZ,2021-04-01 21:21:30,-46.2817,169.8464,55.99,70,100,15.01
3,Samana,DO,2021-04-01 21:21:30,19.2056,-69.3369,82.4,78,20,11.5
4,Butaritari,KI,2021-04-01 21:21:30,3.0707,172.7902,82.38,77,51,13.76
5,Mantua,IT,2021-04-01 21:21:31,45.1667,10.7833,61.0,67,0,3.44
6,Upernavik,GL,2021-04-01 21:21:31,72.7868,-56.1549,27.93,72,100,7.58
7,Boa Vista,BR,2021-04-01 21:21:31,2.8197,-60.6733,91.4,38,20,10.36
8,Kungurtug,RU,2021-04-01 21:21:32,50.5994,97.5228,8.78,93,5,1.97
9,Berlevag,NO,2021-04-01 21:21:32,70.8578,29.0864,30.18,91,100,3.22
10,Busselton,AU,2021-04-01 21:21:32,-33.65,115.3333,66.0,98,69,4.0
11,Shelbyville,US,2021-04-01 21:21:33,35.4834,-86.4603,46.99,39,17,14.97
12,Cuamba,MZ,2021-04-01 21:21:33,-14.8031,36.5372,63.28,92,41,2.89
13,Meaux,FR,2021-04-01 21:21:33,48.9167,3.0,60.01,73,4,3.0
14,Hobart,AU,2021-04-01 21:20:18,-42.8794,147.3294,57.99,77,75,1.52
15,Kapaa,US,2021-04-01 21:21:34,22.0752,-159.319,78.8,73,1,14.97
16,Bluff,NZ,2021-04-01 21:21:34,-46.6,168.3333,55.99,76,100,15.01
17,Oranjestad,AW,2021-04-01 21:17:26,12.524,-70.027,82.99,74,20,24.16
18,Hualmay,PE,2021-04-01 21:21:34,-11.0964,-77.6139,74.14,72,41,12.26
19,Ponta Do Sol,PT,2021-04-01 21:21:35,32.6667,-17.1,59.0,73,0,3.0
20,Ushuaia,AR,2021-04-01 21:21:17,-54.8,-68.3,57.2,44,20,17.27
21,Poso,ID,2021-04-01 21:19:21,-1.3959,120.7524,79.0,84,97,3.11
22,Ust-Nera,RU,2021-04-01 21:21:35,64.5667,143.2,-3.14,97,99,3.24
23,Lebu,CL,2021-04-01 21:21:35,-37.6167,-73.65,59.05,82,56,12.41
24,Tahta,EG,2021-04-01 21:21:36,26.7693,31.5021,66.2,32,0,5.75
25,Rikitea,PF,2021-04-01 21:21:36,-23.1203,-134.9692,74.73,86,100,16.04
26,Bathsheba,BB,2021-04-01 21:17:18,13.2167,-59.5167,80.6,54,20,19.57
27,San Cristobal,VE,2021-04-01 21:21:11,7.7669,-72.225,84.2,65,40,6.91
28,Granville,AU,2021-04-01 21:21:36,-33.8333,151.0167,63.0,97,72,2.82
29,Bislig,PH,2021-04-01 21:21:37,8.2167,126.2833,73.8,95,100,0.92
30,Hithadhoo,MV,2021-04-01 21:21:33,-0.6,73.0833,83.3,77,25,18.01
31,San Patricio,US,2021-04-01 21:21:37,28.017,-97.5169,69.01,40,40,18.41
32,Barentu,ER,2021-04-01 21:20:27,15.1139,37.5928,80.58,44,63,8.1
33,Mataura,NZ,2021-04-01 21:21:17,-46.1927,168.8643,55.99,76,100,15.01
34,Katsuura,JP,2021-04-01 21:21:38,35.1333,140.3,57.99,71,92,14.25
35,Cape Town,ZA,2021-04-01 21:20:46,-33.9258,18.4232,63.0,67,0,14.97
36,Lagoa,PT,2021-04-01 21:17:34,39.05,-27.9833,59.49,83,100,24.65
37,Raudeberg,NO,2021-04-01 21:21:38,61.9875,5.1352,41.0,93,100,12.01
38,Ucluelet,CA,2021-04-01 21:16:50,48.9329,-125.5528,50.0,81,75,9.22
39,Dunedin,NZ,2021-04-01 21:21:39,-45.8742,170.5036,52.0,82,100,10.0
40,Aksarka,RU,2021-04-01 21:21:39,66.5606,67.7975,21.76,96,100,2.77
41,Vaini,TO,2021-04-01 21:21:15,-21.2,-175.2,84.2,79,75,6.91
42,Atuona,PF,2021-04-01 21:21:15,-9.8,-139.0333,80.67,81,60,16.13
43,Avarua,CK,2021-04-01 21:21:39,-21.2078,-159.775,84.2,74,40,12.66
44,Robertson,US,2021-04-01 21:21:40,36.5167,-86.8667,46.0,42,40,11.5
45,Srednekolymsk,RU,2021-04-01 21:21:40,67.45,153.6833,-14.15,99,96,5.93
46,Evinayong,GQ,2021-04-01 21:21:40,1.4368,10.5512,68.25,96,90,2.26
47,Pano Polemidia,CY,2021-04-01 21:21:40,34.7,33.0,48.2,93,40,3.44
48,Sechura,PE,2021-04-01 21:21:41,-5.5569,-80.8222,80.65,58,56,12.28
49,Gardez,AF,2021-04-01 21:21:41,33.5974,69.2259,38.07,42,0,4.21
50,Castro,BR,2021-04-01 21:21:41,-24.7911,-50.0119,61.11,69,0,4.09
51,Albany,US,2021-04-01 21:21:06,42.6001,-73.9662,37.99,75,100,1.99
52,Imbituba,BR,2021-04-01 21:21:42,-28.24,-48.6703,73.4,68,75,11.5
53,Chokurdakh,RU,2021-04-01 21:21:42,70.6333,147.9167,-14.19,99,83,3.0
54,Georgetown,MY,2021-04-01 21:21:15,5.4112,100.3354,84.0,89,20,3.44
55,Dahuk,IQ,2021-04-01 21:21:43,36.8695,42.994,52.27,55,0,3.6
56,Talnakh,RU,2021-04-01 21:21:43,69.4865,88.3972,-16.4,87,4,7.07
57,Port Alfred,ZA,2021-04-01 21:21:43,-33.5906,26.891,67.1,79,83,6.67
58,Flinders,AU,2021-04-01 21:21:43,-34.5833,150.8552,61.0,91,51,1.01
59,Torbay,CA,2021-04-01 21:21:44,47.6666,-52.7314,41.0,52,75,5.75
60,Tavda,RU,2021-04-01 21:21:44,58.0425,65.2726,33.93,96,100,8.84
61,Kudat,MY,2021-04-01 21:21:44,6.8837,116.8477,78.8,94,20,3.44
62,Bredasdorp,ZA,2021-04-01 21:21:45,-34.5322,20.0403,62.6,72,100,5.75
63,Tasiilaq,GL,2021-04-01 21:21:45,65.6145,-37.6368,30.2,86,75,2.3
64,Arraial Do Cabo,BR,2021-04-01 21:21:24,-22.9661,-42.0278,78.8,78,20,23.02
65,Yerbogachen,RU,2021-04-01 21:21:45,61.2767,108.0108,-6.48,99,98,0.98
66,Guerrero Negro,MX,2021-04-01 21:21:46,27.9769,-114.0611,74.82,39,2,16.13
67,Saint Stephen,GB,2021-04-01 21:21:46,50.3333,-4.9,53.6,76,49,6.91
68,Trudovoye,RU,2021-04-01 21:21:46,43.3058,132.0817,33.8,75,100,6.71
69,Vestmannaeyjar,IS,2021-04-01 21:21:46,63.4427,-20.2734,42.84,72,100,17.43
70,Punta Arenas,CL,2021-04-01 21:21:47,-53.15,-70.9167,50.0,81,0,13.8
71,Luganville,VU,2021-04-01 21:21:47,-15.5333,167.1667,81.82,82,90,4.56
72,Sorland,NO,2021-04-01 21:21:47,67.667,12.6934,39.43,73,100,22.7
73,Wasilla,US,2021-04-01 21:21:48,61.5814,-149.4394,26.6,50,1,3.44
74,Cidreira,BR,2021-04-01 21:21:48,-30.1811,-50.2056,70.45,69,69,10.2
75,Palmer,US,2021-04-01 21:21:49,42.1584,-72.3287,45.0,49,90,14.97
76,Paka,MY,2021-04-01 21:21:49,4.6374,103.4368,73.4,100,99,4.85
77,Iwanai,JP,2021-04-01 21:21:49,42.9744,140.5089,35.38,74,26,4.29
